"index","parent","subba","time","start","end","start_act","end_act","start_match","end_match","n_obs","na","type","update","success","comments"
1,"CISO","PGAE",2024-07-14 00:13:22.883927,2018-07-01 08:00:00,2024-07-08 01:00:00,2018-07-01 08:00:00,2024-07-08 01:00:00,TRUE,TRUE,52770,0,"backfill",TRUE,TRUE,NA
1,"CISO","SCE",2024-07-14 00:13:50.657329,2018-07-01 08:00:00,2024-07-08 01:00:00,2018-07-01 08:00:00,2024-07-08 01:00:00,TRUE,TRUE,52770,0,"backfill",TRUE,TRUE,NA
1,"CISO","SDGE",2024-07-14 00:14:13.846451,2018-07-01 08:00:00,2024-07-08 01:00:00,2018-07-01 08:00:00,2024-07-08 01:00:00,TRUE,TRUE,52770,0,"backfill",TRUE,TRUE,NA
1,"CISO","VEA",2024-07-14 00:14:36.434042,2018-07-01 08:00:00,2024-07-08 01:00:00,2018-07-01 08:00:00,2024-07-08 01:00:00,TRUE,TRUE,52770,0,"backfill",TRUE,TRUE,NA
2,"CISO","PGAE",2024-07-14 00:20:37.335682,2024-07-08 02:00:00,2024-07-13 07:00:00,2024-07-08 02:00:00,2024-07-13 07:00:00,TRUE,TRUE,126,0,"refresh",TRUE,TRUE,NA
2,"CISO","SCE",2024-07-14 00:20:46.517412,2024-07-08 02:00:00,2024-07-13 07:00:00,2024-07-08 02:00:00,2024-07-13 07:00:00,TRUE,TRUE,126,0,"refresh",TRUE,TRUE,NA
2,"CISO","SDGE",2024-07-14 00:20:51.172371,2024-07-08 02:00:00,2024-07-13 07:00:00,2024-07-08 02:00:00,2024-07-13 07:00:00,TRUE,TRUE,126,0,"refresh",TRUE,TRUE,NA
2,"CISO","VEA",2024-07-14 00:20:54.379511,2024-07-08 02:00:00,2024-07-13 07:00:00,2024-07-08 02:00:00,2024-07-13 07:00:00,TRUE,TRUE,126,0,"refresh",TRUE,TRUE,NA
3,"CISO","PGAE",2024-07-14 00:21:48.347456,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
3,"CISO","SCE",2024-07-14 00:21:48.34851,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
3,"CISO","SDGE",2024-07-14 00:21:48.349142,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
3,"CISO","VEA",2024-07-14 00:21:48.349772,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
4,"CISO","PGAE",2024-07-14 01:42:17.037234,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
4,"CISO","SCE",2024-07-14 01:42:17.039196,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
